λ,σ
173.15,1.0574e-17
174.65,8.853e-18
176.2,8.64e-18
177.8,8.575e-18
179.4,8.469e-18
181.0,8.159e-18
182.65,7.592e-18
184.35,6.781e-18
186.05,5.769e-18
187.8,4.796e-18
189.6,4.11e-18
191.4,3.657e-18
193.25,3.52e-18
195.15,3.621e-18
197.05,3.87e-18
199.0,4.166e-18
201.0,4.387e-18
203.05,4.484e-18
205.15,4.508e-18
207.25,4.546e-18
209.4,4.696e-18
211.65,4.983e-18
213.9,5.328e-18
216.2,5.666e-18
218.6,5.906e-18
221.0,5.951e-18
223.45,5.748e-18
226.0,5.371e-18
228.6,4.83e-18
231.25,4.174e-18
233.95,3.624e-18
236.7,3.14e-18
239.55,2.769e-18
242.45,2.486e-18
245.4,2.161e-18
248.45,1.849e-18
251.6,1.552e-18
254.8,1.221e-18
258.05,9.24e-19
261.45,6.62e-19
264.95,4.72e-19
268.5,3.29e-19
272.15,2.18e-19
275.9,1.39e-19
279.75,8.62e-20
283.7,5.29e-20
287.8,3.09e-20
