λ,σ
206.7,8.81e-19
206.91,7.93e-19
207.12,7.06e-19
207.39,5.42e-19
207.66,3.78e-19
208.02,3.19e-19
208.67,2.62e-19
209.47,2.14e-19
210.35,1.61e-19
210.87,1.33e-19
211.69,1.13e-19
213.05,9.69e-20
214.65,8.85e-20
216.37,8.95e-20
218.19,9.04e-20
219.95,8.93e-20
221.84,8.82e-20
223.75,9.44e-20
225.44,1.01e-19
227.24,1.12e-19
228.81,1.26e-19
230.41,1.42e-19
231.57,1.63e-19
233.02,1.82e-19
234.12,2.02e-19
235.23,2.24e-19
235.88,2.4e-19
236.91,2.64e-19
237.77,2.9e-19
239.01,3.31e-19
239.88,3.66e-19
240.85,4.06e-19
241.64,4.44e-19
242.72,4.83e-19
243.72,5.31e-19
244.53,5.8e-19
245.23,6.19e-19
246.05,6.61e-19
246.66,7.04e-19
247.39,7.5e-19
248.01,7.95e-19
248.43,8.25e-19
248.64,8.52e-19
248.95,8.78e-19
249.69,9.26e-19
250.32,9.62e-19
250.96,1.0e-18
251.6,1.04e-18
252.56,1.1e-18
253.75,1.14e-18
254.73,1.19e-18
255.39,1.22e-18
256.05,1.24e-18
256.94,1.27e-18
257.94,1.29e-18
259.85,1.31e-18
261.67,1.29e-18
262.94,1.27e-18
263.86,1.24e-18
265.15,1.2e-18
265.85,1.17e-18
266.92,1.13e-18
267.75,1.09e-18
268.58,1.05e-18
269.67,1.0e-18
270.76,9.65e-19
271.5,9.28e-19
272.6,8.69e-19
273.85,8.14e-19
274.85,7.61e-19
276.11,7.09e-19
276.87,6.66e-19
277.51,6.41e-19
278.67,6.01e-19
279.57,5.54e-19
280.09,5.23e-19
281.14,4.82e-19
281.8,4.35e-19
282.86,3.93e-19
283.8,3.64e-19
284.88,3.41e-19
285.96,3.16e-19
286.78,2.92e-19
287.74,2.62e-19
289.27,2.29e-19
290.82,1.99e-19
292.23,1.71e-19
293.53,1.46e-19
295.26,1.22e-19
297.61,9.31e-20
300.76,6.29e-20
302.89,5.25e-20
