λ,σ
119.73,3.78e-17
120.09,3.63e-17
120.29,3.52e-17
120.5,3.39e-17
120.86,3.22e-17
121.17,3.09e-17
121.42,2.97e-17
121.83,2.84e-17
122.19,2.73e-17
122.5,2.64e-17
122.86,2.55e-17
123.42,2.44e-17
123.78,2.41e-17
124.29,2.38e-17
124.89,2.46e-17
125.0,2.52e-17
125.35,2.63e-17
125.55,2.68e-17
126.11,2.69e-17
126.31,2.67e-17
127.23,2.63e-17
128.1,2.69e-17
128.81,2.8e-17
129.21,2.91e-17
129.66,3.04e-17
130.07,3.19e-17
130.42,3.36e-17
130.52,3.48e-17
130.67,3.65e-17
130.82,3.8e-17
130.92,3.95e-17
130.97,4.06e-17
131.07,4.14e-17
131.11,4.23e-17
131.26,4.33e-17
131.31,4.41e-17
131.46,4.49e-17
131.62,4.56e-17
131.77,4.62e-17
132.22,4.63e-17
132.94,4.6e-17
133.3,4.52e-17
133.55,4.43e-17
133.81,4.31e-17
134.17,4.14e-17
134.38,3.98e-17
134.63,3.78e-17
134.84,3.59e-17
135.05,3.38e-17
135.36,3.17e-17
135.57,3.04e-17
135.98,2.88e-17
136.34,2.73e-17
136.9,2.59e-17
137.46,2.46e-17
138.02,2.35e-17
138.54,2.26e-17
139.15,2.18e-17
139.91,2.11e-17
140.63,2.03e-17
141.49,1.96e-17
142.56,1.91e-17
143.63,1.87e-17
144.65,1.81e-17
145.47,1.75e-17
146.03,1.66e-17
146.59,1.58e-17
147.1,1.49e-17
147.87,1.36e-17
148.33,1.27e-17
148.94,1.16e-17
149.4,1.07e-17
149.86,9.82e-18
150.37,8.94e-18
150.57,8.52e-18
151.14,7.68e-18
151.8,6.88e-18
152.51,6.11e-18
153.38,5.42e-18
154.25,4.77e-18
155.11,4.08e-18
156.08,3.47e-18
157.05,2.86e-18
157.97,2.32e-18
158.99,1.82e-18
,
159.59,2.65e-18
160.26,2.57e-18
160.51,2.53e-18
161.07,2.44e-18
161.63,2.35e-18
161.99,2.3e-18
162.65,2.22e-18
163.37,2.14e-18
164.13,2.07e-18
164.95,1.99e-18
165.82,1.93e-18
167.04,1.91e-18
168.21,1.92e-18
169.38,1.96e-18
170.44,2.01e-18
171.61,2.05e-18
172.78,2.07e-18
174.0,2.08e-18
175.12,2.04e-18
176.14,1.99e-18
177.16,1.94e-18
178.13,1.88e-18
179.1,1.83e-18
180.02,1.76e-18
180.93,1.7e-18
181.8,1.64e-18
182.67,1.57e-18
183.43,1.5e-18
184.25,1.43e-18
185.06,1.36e-18
185.88,1.29e-18
186.69,1.22e-18
187.46,1.14e-18
188.22,1.07e-18
188.99,1.0e-18
189.75,9.33e-19
190.57,8.61e-19
191.33,7.88e-19
192.2,7.15e-19
193.01,6.47e-19
193.78,5.78e-19
194.7,5.13e-19
194.95,4.9e-19
195.82,4.28e-19
196.68,3.67e-19
197.7,3.13e-19
198.67,2.52e-19
199.64,2.02e-19
