λ,σ
177.8,3.52e-18
179.4,2.48e-18
181.0,1.909e-18
182.65,1.55e-18
184.35,1.36e-18
186.05,1.415e-18
187.8,1.603e-18
189.6,1.82e-18
191.4,2.083e-18
193.25,2.27e-18
195.15,2.365e-18
197.05,2.364e-18
199.0,2.283e-18
201.0,2.171e-18
203.05,2.092e-18
205.15,2.076e-18
207.25,2.145e-18
209.4,2.321e-18
211.65,2.647e-18
213.9,2.967e-18
216.2,3.197e-18
218.6,3.31e-18
221.0,3.284e-18
223.45,3.125e-18
226.0,2.844e-18
228.6,2.477e-18
231.25,2.064e-18
233.95,1.646e-18
236.7,1.258e-18
239.55,9.22e-19
242.45,6.4e-19
245.4,4.29e-19
248.45,2.73e-19
251.6,1.71e-19
254.8,9.94e-20
258.05,5.75e-20
261.45,3.1e-20
264.95,1.64e-20
268.5,8.64e-21
272.15,4.45e-21
275.9,2.22e-21
279.75,1.1e-21
283.7,5.6e-22
287.8,2.84e-22
292.0,1.49e-22
