λ,σ
105.95,7.69e-17
106.49,7.69e-17
106.77,7.53e-17
107.09,7.35e-17
107.25,7.25e-17
107.98,7.21e-17
108.51,7.34e-17
109.33,7.27e-17
109.81,7.41e-17
110.19,7.57e-17
110.6,7.69e-17
110.84,7.54e-17
111.05,7.37e-17
111.25,7.19e-17
111.5,7.0e-17
111.74,6.88e-17
112.46,6.99e-17
113.09,6.79e-17
113.57,6.63e-17
114.08,6.48e-17
114.59,6.34e-17
114.86,6.27e-17
115.28,6.34e-17
115.81,6.48e-17
116.06,6.66e-17
116.28,6.83e-17
116.42,7.01e-17
116.64,7.21e-17
116.81,7.45e-17
116.95,7.68e-17
117.13,7.87e-17
117.46,8.04e-17
117.9,7.8e-17
118.22,7.62e-17
118.66,7.47e-17
119.13,7.31e-17
119.41,7.17e-17
119.65,6.99e-17
119.86,6.81e-17
120.22,6.64e-17
120.88,6.51e-17
121.47,6.45e-17
121.71,6.33e-17
121.91,6.15e-17
122.23,5.96e-17
122.63,5.79e-17
122.95,5.66e-17
123.35,5.49e-17
123.59,5.31e-17
123.75,5.19e-17
123.88,5.11e-17
124.19,4.99e-17
124.5,5.0e-17
124.96,5.0e-17
125.49,5.15e-17
125.86,5.32e-17
126.43,5.42e-17
127.13,5.31e-17
127.66,5.46e-17
127.99,5.62e-17
128.32,5.8e-17
128.51,5.88e-17
129.17,5.76e-17
129.68,5.6e-17
130.27,5.46e-17
130.84,5.59e-17
131.25,5.8e-17
131.43,5.93e-17
131.61,6.04e-17
131.83,6.16e-17
132.21,6.33e-17
132.7,6.45e-17
133.1,6.26e-17
133.45,6.09e-17
133.93,5.92e-17
134.25,5.75e-17
134.49,5.59e-17
134.74,5.4e-17
134.94,5.23e-17
135.19,5.06e-17
135.47,4.88e-17
135.75,4.71e-17
136.0,4.53e-17
136.28,4.31e-17
136.57,4.13e-17
136.69,4.04e-17
137.12,3.99e-17
137.89,3.98e-17
138.37,4.14e-17
138.79,4.29e-17
139.12,4.47e-17
139.53,4.63e-17
139.79,4.75e-17
140.28,4.83e-17
141.16,4.86e-17
141.75,4.72e-17
142.34,4.58e-17
142.69,4.51e-17
142.99,4.58e-17
143.72,4.67e-17
144.61,4.63e-17
145.53,4.61e-17
146.33,4.69e-17
147.1,4.71e-17
147.49,4.57e-17
147.85,4.4e-17
148.18,4.22e-17
148.45,4.09e-17
148.81,3.92e-17
149.1,3.75e-17
149.38,3.57e-17
149.62,3.39e-17
149.91,3.21e-17
150.57,3.08e-17
151.31,2.98e-17
151.97,2.86e-17
152.82,2.8e-17
153.45,2.67e-17
154.04,2.52e-17
154.66,2.38e-17
155.36,2.27e-17
155.99,2.13e-17
156.73,2.01e-17
157.47,1.92e-17
158.35,1.95e-17
159.27,1.95e-17
160.16,1.97e-17
160.93,1.87e-17
161.71,1.77e-17
162.37,1.66e-17
163.11,1.54e-17
163.81,1.42e-17
164.55,1.3e-17
165.37,1.24e-17
166.07,1.11e-17
166.81,1.01e-17
167.62,9.27e-18
168.51,8.76e-18
169.4,8.09e-18
170.29,7.5e-18
171.14,6.76e-18
171.95,6.17e-18
172.84,5.88e-18
173.73,5.22e-18
174.54,4.7e-18
175.47,4.41e-18
176.35,4.12e-18
177.24,4.42e-18
178.08,4.35e-18
178.96,4.65e-18
179.73,5.17e-18
180.54,5.03e-18
181.3,5.77e-18
182.03,5.48e-18
182.76,6.23e-18
183.6,6.53e-18
184.52,6.9e-18
185.37,6.69e-18
186.25,6.91e-18
187.14,6.69e-18
187.99,6.25e-18
188.87,6.26e-18
189.72,5.82e-18
190.61,5.37e-18
191.42,4.78e-18
192.27,4.42e-18
193.12,4.2e-18
193.94,3.39e-18
194.86,2.94e-18
195.67,2.58e-18
196.6,2.43e-18
197.37,1.62e-18
198.22,1.48e-18
199.1,1.48e-18
199.95,1.26e-18
200.88,1.19e-18
201.73,6.77e-19
202.61,9.78e-19
