λ,σ
233.86,3.8e-19
234.59,4.11e-19
235.48,4.41e-19
236.17,4.75e-19
237.02,5.08e-19
237.71,5.48e-19
238.41,5.9e-19
239.07,6.26e-19
239.77,6.64e-19
240.43,7.15e-19
241.24,7.64e-19
241.9,8.11e-19
242.52,8.51e-19
243.09,8.91e-19
243.71,9.31e-19
244.28,9.71e-19
244.81,1.0e-18
245.27,1.04e-18
245.63,1.08e-18
246.21,1.12e-18
246.69,1.15e-18
247.27,1.19e-18
247.86,1.23e-18
248.51,1.28e-18
249.16,1.32e-18
249.75,1.36e-18
250.35,1.4e-18
250.96,1.44e-18
251.62,1.48e-18
252.47,1.52e-18
253.2,1.55e-18
254.05,1.59e-18
254.17,1.59e-18
255.33,1.62e-18
256.45,1.64e-18
257.83,1.65e-18
259.24,1.65e-18
260.37,1.62e-18
261.51,1.59e-18
262.6,1.55e-18
263.65,1.51e-18
264.5,1.47e-18
264.98,1.44e-18
265.84,1.39e-18
266.59,1.34e-18
267.41,1.3e-18
268.09,1.26e-18
268.71,1.23e-18
269.34,1.18e-18
269.9,1.14e-18
270.6,1.1e-18
271.24,1.06e-18
272.02,1.01e-18
272.88,9.55e-19
273.6,9.01e-19
274.25,8.63e-19
274.68,8.4e-19
274.98,8.11e-19
275.42,7.77e-19
276.23,7.28e-19
276.89,6.89e-19
277.48,6.49e-19
278.29,6.12e-19
278.97,5.67e-19
279.86,5.22e-19
280.68,4.82e-19
281.58,4.43e-19
282.48,4.05e-19
283.39,3.69e-19
284.53,3.34e-19
285.21,3.12e-19
286.36,2.76e-19
287.59,2.44e-19
288.99,2.14e-19
290.39,1.84e-19
291.81,1.57e-19
293.31,1.34e-19
294.99,1.12e-19
296.77,9.31e-20
298.48,7.36e-20
300.29,6.33e-20
302.13,4.93e-20
304.07,4.07e-20
